Column A,Column B
141234,59333463
141235,28160640
141236,46606428
141237,84088172
141238,33912486
141239,88254978
141240,32755058
141241,81587322
141242,42249689
141243,74710970
141244,97067242
141245,6709898
141246,30087086
141247,80268569
141248,91407512
141249,48303140
141250,45512022
141251,62892416
141252,31625289
141253,88386241
141254,83180308
141255,31101526
141256,49489415
141257,61368333
141258,25089409
141259,33329676
141260,98009138
141261,15514989
141262,6650859
141263,51649093
141264,23838951
141265,47160638
141266,98859104
141267,26854989
141268,10082238
141269,75016558
141270,22650275
141271,39167901
141272,20618928
141273,62012682
141274,64765887
141275,59251269
141275,49051844
141276,18365799
141277,27961628
141278,8474098
141279,58041673
141280,12814333
141281,85681566
141282,4390404
141283,45589157
141284,21496539
141285,94847573
141286,68551298
141287,53140478
141288,44498603
141289,75273284
141290,93000431
141290,25565915
141291,11272469
141292,27784070
141293,63621109
141294,21255304
141295,5522505
141296,60109174
141297,68451967
141298,66248466
141299,12364200
141300,38510808
141301,48069686
141302,86035498
141303,44789944
141304,41627032
141305,85281060
141306,66471648
141307,22281468
141308,66557252
141309,50593075
141310,57728222
141311,97071440
141312,55804692
141313,85261974
141314,5761153
141315,23335619
141316,33017005
141317,52850935
141318,42581893
141319,96340860
141320,39491366
141321,39457941
141322,23877558
141323,21002425
141324,3473778
141325,95582506
141326,23483301
141327,8055702
141328,23081951
141329,45682434
141330,30508773
141331,48083432
141332,69628867
141333,11415687
141334,32247280
141335,75087632
141336,61970411
141337,7506857
141338,20266174
141339,15633961
141340,55066441
141341,55246917
141342,82021749
141343,28899614
141344,16445614
141345,84342578
141346,98173326
141347,88430667
141348,33638973
141349,45357663
141350,7034932
141351,9854799
141352,14791365
141353,54982645
141354,737680
141355,10009229
141356,49435938
141357,63452188
141358,4966344
141359,25927359
141360,37546284
141361,296602
141362,53208708
141363,69957695
141364,70735044
141365,77371355
141365,90935286
141366,21899109
141367,17531886
141368,43137515
141369,53613978
141370,5050622
141371,23139754
141372,2403884
141373,22392826
141374,74980405
141375,71612287
141376,23737780
141377,53427103
141378,58800063
141379,98563185
141380,52697910
141381,83118654
141382,58214099
141383,11293086
141384,54192180
141384,87537598
141385,57410055
141386,17438980
141387,23185054
141388,8442524
141389,10890468
141390,18493668
141391,30194629
141392,41783650
141393,84427916
141394,46155062
141395,39766797
141396,80070632
141397,85383903
141398,66428062
141399,41289649
141400,4149608
141401,82312772
141402,6056988
141403,17911647
141404,82919333
141405,22497960
141406,36446074
141407,21457749
141408,61795840
141409,89279377
141410,35977228
141411,65767865
141412,96271374
141413,54580744
141414,87884443
141415,48432785
141416,19205110
141417,81713986
141418,93847296
141419,15517108
141420,99730669
141421,65183413
141422,18911597
141423,25918245
141424,83275593
141425,77585010
141426,33694711
141427,80276651
141428,29665010
141429,29928550
141430,70679885
141431,58555923
141432,81543422
141433,47405339
141434,33639605
141435,64186523
141436,82621365
141437,29752843
141438,58370778
141439,31032811
141440,99003058
141441,60267312
141442,82765514
141443,69708980
141444,56715262
141445,76847463
141446,51312851
141447,77133422
141448,30111987
141449,18689279
141450,1466842
141450,45450105
141451,41632393
141452,67464177
141453,98188581
141454,66917394
141455,51978565
141456,83413701
141457,57868239
141457,47052024
141458,19343391
141459,57814115
141460,8645434
141461,66713306
141462,47343330
141463,87813425
141464,53819505
141465,95670600
141466,8559392
141467,92892019
141468,60155108
141469,88886878
141470,5954835
141471,99537003
141472,53090663
141473,1654423
141474,52700897
141475,99773140
141476,56241646
141477,64641920
141478,56283355
141478,99192835
141479,26246694
141480,30166498
141481,61464199
141482,52314450
141483,12356448
141484,53881453
141485,15102555
141486,71670611
141487,69885593
141488,57178637
141489,6564844
141490,69454061
141491,52974294
141492,24820222
141493,71606419
141494,29301398
141495,98663484
141496,43417683
141497,57724134
141498,77188400
141499,5405181
141500,16120073
141501,18785586
141502,39519786
141503,89412424
141504,26969231
141505,66849167
141506,642240
141507,99774116
141508,51431428
141509,31454941
141510,31503159
141511,75547959
141512,96155565
141513,14028882
141514,32770875
141515,57761838
141516,61781797
141517,94767070
141518,67153321
141519,34414033
141520,69494470
141521,76061028
141522,44651191
141523,30048170
141524,40363140
141525,45151484
141526,1040759
141527,99763614
141528,59021019
141529,45761489
141530,69977249
141531,26285727
141532,41071362
141533,94998902
141534,13412605
141535,38503169
141536,1324035
141537,40591496
141538,97096258
141539,40463225
141540,30309518
141541,15552520
141542,92107384
141543,62162006
141544,86269691
141545,32006281
141546,46493006
141547,78674856
141548,5795653
141549,98782145
141550,60018187
141550,30127614
141550,64126136
141551,74598852
141552,92618279
141553,67791584
141554,71435779
141555,87642677
141556,16515753
141557,78467442
141558,589408
141559,85391003
141560,32926546
141561,53583261
141562,60800776
141563,24934638
141564,89992017
141565,54167784
141566,80796197
141567,98683522
141568,66727783
141569,59117045
141570,67389149
141571,84339389
141572,89981567
141573,89705993
141574,1980815
141575,65756427
141576,14573232
141577,50237229
141578,22370753
141579,24664324
141580,65160599
141581,97060507
141582,34711587
141583,26077744
141584,99386514
141585,89246612
141586,48635381
141587,49292538
141587,54221860
141588,15434040
141589,48700012
141590,58551531
141591,28699690
141592,11296724
141593,53133565
141594,49251605
141595,81335853
141596,57256874
141597,78099329
141598,26751834
141599,89756765
141600,48382000
141601,27833395
141602,44248388
141603,59869772
141604,49264228
141605,53731356
141606,3929579
141607,65464256
141608,9910955
141609,74393482
141610,89675633
141611,92366338
141612,24986963
141613,90256938
141614,50653812
141615,70432988
141616,28698602
141617,46512858
141618,23216182
141619,44757905
141620,47451204
141621,6403478
141622,3432190
141623,2391352
141624,23439833
141625,48243758
141626,57645223
141627,80721163
141628,35653574
141629,88467192
141630,28957738
141631,72474594
141632,58244435
141633,79989141
141634,98233606
141635,77180148
141636,27342952
141637,89195954
141638,69749833
141639,20310520
141640,88783198
141641,11903325
141642,18708221
141643,47948679
141644,34619457
141645,4195915
141645,19425384
141646,90412717
141647,7806099
141648,36301121
141649,58214294
141650,7534766
141651,51033233
141652,81147635
141653,73789299
141654,35550809
141655,34536982
141656,31547808
141657,2202679
141658,59718378
141659,9904828
141660,25051649
141661,33332620
141662,66735960
141663,11846341
141664,21742953
141665,98955612
141666,54782348
141667,76117740
141668,27215167
141669,61715007
141670,37877260
141671,44882879
141672,67804
141673,57317011
141674,28848471
141675,49721399
141676,63190045
141677,98733498
141678,1766343
141679,46195370
141680,89009767
141681,10706986
141682,50516365
141683,96870080
141684,49172474
141685,35591108
141686,5505463
141687,24738801
141688,69313463
141689,88477252
141690,17944754
141691,56329981
141692,4428178
141693,71007052
141694,43303857
141695,3746269
141696,94716592
141697,32271170
141698,47964099
141699,4515346
141700,93433627
141701,91999274
141702,56725184
141703,50974727
141704,18311056
141705,41961061
141706,51250543
141707,27360554
141708,99747685
141709,36840617
141710,16809540
141711,4424191
141712,7085743
141713,68133300
141714,67544339
141715,9255780
141716,43449412
141717,2658525
141718,95219674
141719,58607288
141720,20303621
141721,4984951
141722,81056550
141723,16419006
141724,8770183
141725,94322001
141726,37033516
141727,98036534
141728,49621807
141729,46224947
141730,16799176
141731,79954626
141732,5612012
141733,74129830
141734,79597731
141735,4087930
141736,25554955
141737,1260239
141738,62205699
141738,26390568
141739,62937297
141740,7417448
141741,70831731
141742,36835083
141743,15262088
141744,1844048
141745,16251010
141746,76326307
141747,89906991
141748,69551435
141749,19955856
141750,76096526
141751,7145568
141752,86214454
141753,10081652
141754,18204124
141755,41864107
141756,17550672
141757,76738023
141758,4551486
141759,79696612
141760,9280386
141761,96535048
141762,38310825
141763,92423776
141764,89330162
141765,66439550
141766,88999314
141767,56753523
141768,8179606
141769,68114298
141770,28121033
141771,99493087
141772,90943515
141773,42144343
141774,80413516
141775,93545240
141776,75510931
141777,45714086
141778,35829280
141779,80860971
141780,46961962
141781,5930451
141782,24303067
141782,32786633
141783,8957615
141784,36018390
141785,38261295
141786,93002
141787,931000
141788,2802339
141789,92319599
141789,68586948
141790,11687569
141791,31460905
141792,98674199
141793,414985
141794,23335941
141795,20451321
141795,84190044
141796,16678781
141797,90895344
141798,90322027
141799,28462422
141800,85157273
141801,17685503
141802,3230564
141803,38471302
141804,65117904
141805,34239672
141806,5600795
141807,38091371
141808,21421180
141809,96614242
141809,57545291
141810,64650840
141811,84637850
141812,23809216
141813,40678399
141814,70660071
141815,13302670
141816,70206027
141817,89629623
141818,82840389
141819,95839773
141820,81015427
141821,13008642
141822,59134814
141823,64410651
141824,33214933
141825,4586226
141826,21396897
141827,2675515
141828,6312854
141829,79950397
141830,62845321
141831,76191153
141832,35402102
141833,44853930
141834,70342133
141835,41372384
141836,39506099
141837,10533302
141838,31388147
141839,85481829
141840,98595927
141841,17629134
141842,68664948
141843,69815336
141843,19729355
141844,44162612
141845,1084985
141846,86930178
141847,69097171
141848,91426797
141849,93879297
141850,38875307
141851,88050305
141852,92152539
141853,89814293
141854,74137324
141855,52730873
141856,58023691
141857,11406493
141858,11047217
141859,92059123
141860,72865456
141861,38328953
141862,57469756
141863,58325371
141864,99552607
141865,19676991
141866,13158899
141867,70935513
141868,90398446
141869,55485847
141870,99133127
141871,37379517
141872,56341561
141873,53445578
141874,91880991
141875,78137089
141876,94407729
141877,3358236
141878,13008175
141879,3734885
141880,26516708
"
",83268701
141881,55735131
141882,15815536
141883,98432536
141884,17058354
141885,94725904
141886,16151880
141887,25485430
141888,20434963
141889,82922596
141890,92876230
141891,33574340
141892,30286730
141893,16041985
"
",13833428
141894,23841151
141895,79369136
141896,73921741
141897,4106314
141898,57643162
141899,30148103
141900,457037
141900,14653607
141900,80976448
141901,72554091
141901,49549747
141902,11396957
141903,79974086
141904,31654842
141905,16828371
141906,51132631
141907,28116419
141908,63467023
141909,58834936
141910,68417209
141910,25343259
141911,29077461
141912,69445711
141913,12917204
141914,55080630
141915,13081996
141916,55440324
141917,31251373
141918,56030992
141919,4976801
141920,59411762
141921,41450544
141922,93701333
141923,20351844
141924,88514968
141925,62359767
141926,43192903
141927,92418404
141928,63969039
141929,9098210
141930,47051121
141931,87061172
141932,61932876
141933,68001931
141934,77424023
141935,23217248
141936,57068336
141937,65008861
141938,93472039
141939,80298455
141939,47914802
141940,56479630
141941,99360337
141942,28199703
141943,36081616
141944,49153908
141945,18636258
141946,59848411
141946,84888657
141947,63820615
141947,24996270
141948,78567286
141949,66237241
141950,44037478
141951,18470810
141952,45854678
141953,27485105
141954,10557591
141955,78439882
141956,22197415
141957,92861181
141958,21220209
141959,8890899
141960,88794352
141961,14529502
141962,15700979
141963,84315320
141964,84085358
141965,28440326
141965,48524930
141966,55933100
141967,93281763
141967,99788881
141968,9218020
141969,67851623
141970,79045703
141970,53984456
141971,28869149
141972,84666556
141972,2493957
141973,89050752
141974,62457774
141975,13642508
141976,10629385
141977,42383622
141978,98610037
141979,22198077
141980,23064910
141981,42146851
141982,65300640
141983,57994144
141984,2285831
141985,43702425
141986,9534321
141987,74331513
141988,93538238
141989,19797408
141990,31385542
141991,62059532
141992,8562671
141993,92667798
141993,63700679
141994,18025527
141995,11399565
141996,80366923
141997,74794368
141998,22616221
141999,17012536
"
",60484933
142000,4907477
142001,43583282
142002,85951793
142003,7137713
142004,44964483
142005,23411717
142006,75683100
142007,93802469
142008,36565679
142009,83128339
142010,98756360
142010,70321171
142011,29616322
142012,40166230
142013,97561852
142014,46351081
142015,70104181
142016,37739688
142017,26618326
142018,33623147
142019,72042158
142020,83064281
142021,86407344
142022,31001418
142023,74482743
142023,95362499
142024,4628101
142025,99120183
142026,95166521
142027,48685886
142028,34470431
142029,42307884
142030,96040314
142031,88989368
142032,40992680
142033,24252130
142034,48077931
142035,13512576
142036,36414261
142037,16808222
142037,95087327
142038,8196336
142039,71802888
142039,95251886
142040,48244817
142041,87911398
142042,50930429
142043,63261075
142044,43222168
142045,27229163
142046,21271281
142047,75941770
142048,58555448
142048,77289566
142049,89556419
142050,24897098
142051,85343479
142052,77955485
142053,77889524
142054,46406673
142055,92158656
142056,5948863
142057,25337538
142058,43038414
142059,91788385
142060,16165206
142061,76982369
142062,25089129
142063,624495
142064,61384567
142065,70078002
142066,48914220
142067,29335676
142068,18340619
142069,3734631
142070,80964679
142071,83860755
142071,98713974
"
",33626208
142072,63492709
142073,36118505
142074,51447727
142075,46942786
142076,35715817
142077,26861843
142078,44105578
142079,73317586
142080,71267920
142081,16925165
142082,90888022
142083,85656290
142084,81080967
142085,97458897
142085,40650377
142086,53993123
142087,77607413
142088,36889379
142089,11779860
142090,50188789
142091,7942149
142092,42211302
142093,13976880
142094,66922582
142095,67401226
142096,25832962
142097,84121089
142098,53793405
142099,24449128
142100,82814288
142101,73881774
142102,20004885
142103,30730310
142104,52639253
